run,window,phase,seq,query,op_type,exec_ms,ok
1,0,Reporting,0,U_orders,UPDATE,0.6083,True
1,0,Reporting,1,Q1,SELECT,523.4348,True
1,0,Reporting,2,Q1,SELECT,513.736,True
1,0,Reporting,3,U_orders,UPDATE,1.3123,True
1,0,Reporting,4,U_orders,UPDATE,0.4378,True
1,0,Reporting,5,Q14,SELECT,182.4661,True
1,0,Reporting,6,Q1,SELECT,511.403,True
1,0,Reporting,7,Q14,SELECT,180.1489,True
1,0,Reporting,8,Q14,SELECT,180.8885,True
1,0,Reporting,9,Q14,SELECT,183.5862,True
1,0,Reporting,10,Q6,SELECT,179.0777,True
1,0,Reporting,11,Q4,SELECT,371.2454,True
1,0,Reporting,12,Q6,SELECT,178.0495,True
1,0,Reporting,13,U_orders,UPDATE,0.7689,True
1,0,Reporting,14,Q6,SELECT,177.3584,True
1,0,Reporting,15,Q14,SELECT,180.7556,True
1,0,Reporting,16,Q1,SELECT,529.404,True
1,0,Reporting,17,Q1,SELECT,526.2877,True
1,0,Reporting,18,Q14,SELECT,182.5316,True
1,0,Reporting,19,Q1,SELECT,518.1659,True
1,0,Reporting,20,Q1,SELECT,523.1087,True
1,0,Reporting,21,Q14,SELECT,181.3685,True
1,0,Reporting,22,Q6,SELECT,181.2384,True
1,0,Reporting,23,Q1,SELECT,557.8052,True
1,0,Reporting,24,Q1,SELECT,543.0533,True
1,0,Reporting,25,U_orders,UPDATE,0.7788,True
1,0,Reporting,26,Q14,SELECT,180.6097,True
1,0,Reporting,27,U_orders,UPDATE,0.468,True
1,0,Reporting,28,Q4,SELECT,99.2511,True
1,0,Reporting,29,Q14,SELECT,180.3775,True
1,1,Reporting,0,Q6,SELECT,179.4584,True
1,1,Reporting,1,Q1,SELECT,529.3777,True
1,1,Reporting,2,Q12,SELECT,230.8602,True
1,1,Reporting,3,Q12,SELECT,229.7602,True
1,1,Reporting,4,Q6,SELECT,179.332,True
1,1,Reporting,5,Q14,SELECT,179.7888,True
1,1,Reporting,6,Q6,SELECT,179.0469,True
1,1,Reporting,7,U_orders,UPDATE,0.7809,True
1,1,Reporting,8,Q6,SELECT,177.7426,True
1,1,Reporting,9,Q14,SELECT,182.0221,True
1,1,Reporting,10,Q1,SELECT,525.3068,True
1,1,Reporting,11,Q1,SELECT,519.2559,True
1,1,Reporting,12,Q1,SELECT,522.7966,True
1,1,Reporting,13,U_orders,UPDATE,0.7842,True
1,1,Reporting,14,U_orders,UPDATE,0.2487,True
1,1,Reporting,15,Q14,SELECT,179.8978,True
1,1,Reporting,16,Q12,SELECT,229.334,True
1,1,Reporting,17,Q14,SELECT,179.6736,True
1,1,Reporting,18,U_orders,UPDATE,0.7182,True
1,1,Reporting,19,Q6,SELECT,178.4935,True
1,1,Reporting,20,Q1,SELECT,528.6898,True
1,1,Reporting,21,Q14,SELECT,180.4355,True
1,1,Reporting,22,Q6,SELECT,180.0525,True
1,1,Reporting,23,U_orders,UPDATE,0.7278,True
1,1,Reporting,24,Q12,SELECT,228.5997,True
1,1,Reporting,25,Q1,SELECT,526.105,True
1,1,Reporting,26,Q6,SELECT,181.1331,True
1,1,Reporting,27,Q1,SELECT,520.8953,True
1,1,Reporting,28,Q6,SELECT,179.5947,True
1,1,Reporting,29,U_orders,UPDATE,0.7895,True
1,2,Reporting,0,Q1,SELECT,526.6902,True
1,2,Reporting,1,Q6,SELECT,179.8387,True
1,2,Reporting,2,Q4,SELECT,93.8113,True
1,2,Reporting,3,Q6,SELECT,181.2126,True
1,2,Reporting,4,Q1,SELECT,522.886,True
1,2,Reporting,5,Q12,SELECT,231.2024,True
1,2,Reporting,6,Q12,SELECT,231.3632,True
1,2,Reporting,7,Q1,SELECT,527.8218,True
1,2,Reporting,8,Q6,SELECT,181.29,True
1,2,Reporting,9,Q12,SELECT,233.3093,True
1,2,Reporting,10,U_orders,UPDATE,0.7176,True
1,2,Reporting,11,Q1,SELECT,527.0747,True
1,2,Reporting,12,Q12,SELECT,233.7609,True
1,2,Reporting,13,U_orders,UPDATE,0.7686,True
1,2,Reporting,14,Q4,SELECT,92.8442,True
1,2,Reporting,15,U_orders,UPDATE,0.7605,True
1,2,Reporting,16,Q12,SELECT,232.2589,True
1,2,Reporting,17,Q1,SELECT,520.636,True
1,2,Reporting,18,Q12,SELECT,230.5629,True
1,2,Reporting,19,U_orders,UPDATE,0.4869,True
1,2,Reporting,20,Q4,SELECT,91.8882,True
1,2,Reporting,21,Q1,SELECT,546.6653,True
1,2,Reporting,22,Q1,SELECT,529.2196,True
1,2,Reporting,23,Q14,SELECT,178.486,True
1,2,Reporting,24,U_orders,UPDATE,0.6863,True
1,2,Reporting,25,Q1,SELECT,521.849,True
1,2,Reporting,26,Q1,SELECT,541.0572,True
1,2,Reporting,27,U_orders,UPDATE,1.3055,True
1,2,Reporting,28,Q6,SELECT,179.5461,True
1,2,Reporting,29,Q14,SELECT,180.9985,True
1,3,Reporting,0,Q1,SELECT,523.4895,True
1,3,Reporting,1,Q12,SELECT,230.0658,True
1,3,Reporting,2,U_orders,UPDATE,0.5991,True
1,3,Reporting,3,Q14,SELECT,180.1992,True
1,3,Reporting,4,Q6,SELECT,179.8013,True
1,3,Reporting,5,Q1,SELECT,524.7696,True
1,3,Reporting,6,Q6,SELECT,179.6287,True
1,3,Reporting,7,Q1,SELECT,522.6855,True
1,3,Reporting,8,Q14,SELECT,180.7048,True
1,3,Reporting,9,U_orders,UPDATE,1.1538,True
1,3,Reporting,10,Q14,SELECT,180.8423,True
1,3,Reporting,11,Q6,SELECT,180.3802,True
1,3,Reporting,12,U_orders,UPDATE,1.2282,True
1,3,Reporting,13,Q1,SELECT,527.3077,True
1,3,Reporting,14,Q1,SELECT,524.2055,True
1,3,Reporting,15,U_orders,UPDATE,0.7127,True
1,3,Reporting,16,Q6,SELECT,179.2307,True
1,3,Reporting,17,Q6,SELECT,179.3909,True
1,3,Reporting,18,Q12,SELECT,232.3195,True
1,3,Reporting,19,Q6,SELECT,179.6392,True
1,3,Reporting,20,Q14,SELECT,179.8864,True
1,3,Reporting,21,U_orders,UPDATE,0.7712,True
1,3,Reporting,22,Q14,SELECT,179.9978,True
1,3,Reporting,23,Q1,SELECT,526.984,True
1,3,Reporting,24,Q14,SELECT,179.762,True
1,3,Reporting,25,Q1,SELECT,522.1089,True
1,3,Reporting,26,Q14,SELECT,180.6194,True
1,3,Reporting,27,Q6,SELECT,180.3969,True
1,3,Reporting,28,Q1,SELECT,530.6724,True
1,3,Reporting,29,U_orders,UPDATE,0.3337,True
1,4,Reporting,0,Q1,SELECT,525.2303,True
1,4,Reporting,1,Q1,SELECT,521.8576,True
1,4,Reporting,2,Q14,SELECT,180.3811,True
1,4,Reporting,3,Q1,SELECT,537.1672,True
1,4,Reporting,4,U_orders,UPDATE,0.7555,True
1,4,Reporting,5,Q6,SELECT,181.1379,True
1,4,Reporting,6,Q14,SELECT,183.3064,True
1,4,Reporting,7,Q1,SELECT,526.2139,True
1,4,Reporting,8,Q14,SELECT,180.582,True
1,4,Reporting,9,Q6,SELECT,180.6093,True
1,4,Reporting,10,Q6,SELECT,179.7367,True
1,4,Reporting,11,Q12,SELECT,233.765,True
1,4,Reporting,12,Q14,SELECT,183.4889,True
1,4,Reporting,13,Q4,SELECT,94.4315,True
1,4,Reporting,14,U_orders,UPDATE,0.3796,True
1,4,Reporting,15,Q14,SELECT,181.4417,True
1,4,Reporting,16,Q1,SELECT,530.1325,True
1,4,Reporting,17,Q1,SELECT,532.2333,True
1,4,Reporting,18,U_orders,UPDATE,0.7833,True
1,4,Reporting,19,Q4,SELECT,93.7623,True
1,4,Reporting,20,Q1,SELECT,526.9199,True
1,4,Reporting,21,U_orders,UPDATE,0.7357,True
1,4,Reporting,22,Q6,SELECT,178.9381,True
1,4,Reporting,23,Q14,SELECT,182.2818,True
1,4,Reporting,24,U_orders,UPDATE,0.7903,True
1,4,Reporting,25,Q12,SELECT,230.8173,True
1,4,Reporting,26,U_orders,UPDATE,0.7198,True
1,4,Reporting,27,Q4,SELECT,93.3924,True
1,4,Reporting,28,Q12,SELECT,233.2249,True
1,4,Reporting,29,Q1,SELECT,520.9978,True
1,5,Reporting,0,Q14,SELECT,181.8496,True
1,5,Reporting,1,U_orders,UPDATE,0.7581,True
1,5,Reporting,2,Q4,SELECT,93.7114,True
1,5,Reporting,3,U_orders,UPDATE,0.7627,True
1,5,Reporting,4,Q1,SELECT,524.888,True
1,5,Reporting,5,Q1,SELECT,526.2587,True
1,5,Reporting,6,Q4,SELECT,93.3694,True
1,5,Reporting,7,U_orders,UPDATE,0.7401,True
1,5,Reporting,8,Q12,SELECT,229.9407,True
1,5,Reporting,9,Q14,SELECT,181.9196,True
1,5,Reporting,10,Q14,SELECT,181.4792,True
1,5,Reporting,11,Q1,SELECT,525.0289,True
1,5,Reporting,12,Q12,SELECT,235.9346,True
1,5,Reporting,13,Q1,SELECT,524.1853,True
1,5,Reporting,14,Q6,SELECT,181.1541,True
1,5,Reporting,15,Q6,SELECT,179.538,True
1,5,Reporting,16,Q1,SELECT,529.3531,True
1,5,Reporting,17,Q12,SELECT,232.6242,True
1,5,Reporting,18,U_orders,UPDATE,0.77,True
1,5,Reporting,19,Q12,SELECT,230.1861,True
1,5,Reporting,20,Q4,SELECT,93.8708,True
1,5,Reporting,21,Q1,SELECT,531.1464,True
1,5,Reporting,22,Q6,SELECT,180.8444,True
1,5,Reporting,23,Q6,SELECT,180.4413,True
1,5,Reporting,24,U_orders,UPDATE,0.769,True
1,5,Reporting,25,Q6,SELECT,179.7992,True
1,5,Reporting,26,Q1,SELECT,538.8146,True
1,5,Reporting,27,Q12,SELECT,230.8982,True
1,5,Reporting,28,U_orders,UPDATE,0.7646,True
1,5,Reporting,29,Q1,SELECT,528.8428,True
1,6,Reporting,0,Q14,SELECT,182.9331,True
1,6,Reporting,1,Q4,SELECT,94.8468,True
1,6,Reporting,2,Q14,SELECT,180.988,True
1,6,Reporting,3,Q14,SELECT,180.931,True
1,6,Reporting,4,Q1,SELECT,530.2564,True
1,6,Reporting,5,Q1,SELECT,520.5795,True
1,6,Reporting,6,Q6,SELECT,181.2332,True
1,6,Reporting,7,Q6,SELECT,180.6712,True
1,6,Reporting,8,U_orders,UPDATE,0.4846,True
1,6,Reporting,9,Q1,SELECT,527.5487,True
1,6,Reporting,10,Q14,SELECT,181.7464,True
1,6,Reporting,11,Q6,SELECT,179.757,True
1,6,Reporting,12,U_orders,UPDATE,0.7494,True
1,6,Reporting,13,Q14,SELECT,180.102,True
1,6,Reporting,14,Q12,SELECT,231.5049,True
1,6,Reporting,15,Q6,SELECT,181.3613,True
1,6,Reporting,16,Q1,SELECT,526.4221,True
1,6,Reporting,17,Q6,SELECT,178.5735,True
1,6,Reporting,18,U_orders,UPDATE,0.7875,True
1,6,Reporting,19,Q14,SELECT,181.434,True
1,6,Reporting,20,Q4,SELECT,94.6245,True
1,6,Reporting,21,Q1,SELECT,525.6217,True
1,6,Reporting,22,Q6,SELECT,182.6648,True
1,6,Reporting,23,Q1,SELECT,524.0382,True
1,6,Reporting,24,Q1,SELECT,531.0752,True
1,6,Reporting,25,U_orders,UPDATE,0.7715,True
1,6,Reporting,26,Q6,SELECT,180.181,True
1,6,Reporting,27,U_orders,UPDATE,0.7009,True
1,6,Reporting,28,Q6,SELECT,180.2268,True
1,6,Reporting,29,U_orders,UPDATE,0.3524,True
1,7,Reporting,0,Q6,SELECT,180.7666,True
1,7,Reporting,1,Q6,SELECT,179.9799,True
1,7,Reporting,2,U_orders,UPDATE,0.7319,True
1,7,Reporting,3,Q6,SELECT,179.503,True
1,7,Reporting,4,Q12,SELECT,231.6527,True
1,7,Reporting,5,Q14,SELECT,181.8111,True
1,7,Reporting,6,Q1,SELECT,522.4318,True
1,7,Reporting,7,U_orders,UPDATE,0.7675,True
1,7,Reporting,8,Q14,SELECT,181.3041,True
1,7,Reporting,9,Q14,SELECT,180.1067,True
1,7,Reporting,10,Q4,SELECT,94.2911,True
1,7,Reporting,11,Q1,SELECT,527.0701,True
1,7,Reporting,12,Q14,SELECT,180.7937,True
1,7,Reporting,13,Q12,SELECT,232.0198,True
1,7,Reporting,14,U_orders,UPDATE,0.4248,True
1,7,Reporting,15,Q12,SELECT,231.5427,True
1,7,Reporting,16,Q1,SELECT,519.6307,True
1,7,Reporting,17,Q4,SELECT,93.7046,True
1,7,Reporting,18,Q4,SELECT,93.5842,True
1,7,Reporting,19,Q6,SELECT,182.1657,True
1,7,Reporting,20,Q14,SELECT,185.1639,True
1,7,Reporting,21,U_orders,UPDATE,0.6091,True
1,7,Reporting,22,U_orders,UPDATE,0.1765,True
1,7,Reporting,23,Q14,SELECT,181.3679,True
1,7,Reporting,24,Q14,SELECT,181.0638,True
1,7,Reporting,25,Q12,SELECT,232.685,True
1,7,Reporting,26,Q1,SELECT,528.0598,True
1,7,Reporting,27,Q1,SELECT,527.5082,True
1,7,Reporting,28,Q1,SELECT,530.9496,True
1,7,Reporting,29,U_orders,UPDATE,0.775,True
1,8,JoinHeavy,0,Q3,SELECT,259.4874,True
1,8,JoinHeavy,1,Q7,SELECT,146.9138,True
1,8,JoinHeavy,2,Q18,SELECT,2293.0878,True
