run,w_from,w_to,phase_from,phase_to,cross_phase,S_R,S_V,S_T,S_A,S_P,HSM
1,0,1,Reporting,Reporting,False,1.0,1.0,1.0,0.9333,0.9467,0.9787
1,1,2,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.8296,0.9678
1,2,3,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.7372,0.9539
1,3,4,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.8715,0.9741
1,4,5,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8722,0.9808
1,5,6,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.9291,0.9894
1,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7923,0.9688
1,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2396,0.5908,0.6546
1,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8917,0.9838
1,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.7052,0.9558
1,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9545,0.7731,0.9569
1,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9545,0.753,0.9539
1,12,13,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.8061,0.9573
1,13,14,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9435,0.9915
1,14,15,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.7926,0.9552
1,15,16,JoinHeavy,Procurement,True,0.71,0.8154,0.7749,0.3707,0.648,0.6669
1,16,17,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.8084,0.9536
1,17,18,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8355,0.9753
1,18,19,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7646,0.9647
1,19,20,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8087,0.9713
1,20,21,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8562,0.9784
1,21,22,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7556,0.9633
1,22,23,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7652,0.9648
1,23,24,Procurement,Customer,True,0.66,0.9076,0.7444,0.3833,0.7765,0.6886
1,24,25,Customer,Customer,False,1.0,1.0,1.0,0.869,0.736,0.9342
1,25,26,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.7396,0.93
1,26,27,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.5922,0.9079
1,27,28,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6254,0.9129
1,28,29,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6784,0.9208
1,29,30,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6242,0.9127
1,30,31,Customer,Customer,False,1.0,1.0,1.0,1.0,0.7944,0.9692
2,0,1,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.815,0.9723
2,1,2,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8805,0.9821
2,2,3,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7245,0.9587
2,3,4,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8041,0.9706
2,4,5,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7701,0.9655
2,5,6,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7875,0.9681
2,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7241,0.9586
2,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2396,0.5646,0.6507
2,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.6623,0.9493
2,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.7649,0.9647
2,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8263,0.9739
2,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.6955,0.9543
2,12,13,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8592,0.9789
2,13,14,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.6536,0.948
2,14,15,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.5636,0.9345
2,15,16,JoinHeavy,Procurement,True,0.71,0.8154,0.7749,0.379,0.6032,0.6618
2,16,17,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8562,0.9784
2,17,18,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7722,0.9658
2,18,19,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8095,0.9714
2,19,20,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.734,0.9601
2,20,21,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7855,0.9678
2,21,22,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7422,0.9613
2,22,23,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.6258,0.9439
2,23,24,Procurement,Customer,True,0.66,0.9076,0.7444,0.3833,0.593,0.661
2,24,25,Customer,Customer,False,1.0,1.0,1.0,1.0,0.7011,0.9552
2,25,26,Customer,Customer,False,1.0,1.0,1.0,0.9762,0.6091,0.9366
2,26,27,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6648,0.9188
2,27,28,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.6832,0.9215
2,28,29,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.573,0.905
2,29,30,Customer,Customer,False,1.0,1.0,1.0,0.8474,0.602,0.9098
2,30,31,Customer,Customer,False,1.0,1.0,1.0,0.8474,0.5921,0.9083
3,0,1,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.9245,0.9887
3,1,2,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8716,0.9807
3,2,3,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7349,0.9602
3,3,4,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.8475,0.9705
3,4,5,Reporting,Reporting,False,1.0,1.0,1.0,0.7333,0.7388,0.9075
3,5,6,Reporting,Reporting,False,1.0,1.0,1.0,0.7667,0.7393,0.9142
3,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.7343,0.9601
3,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2396,0.5573,0.6496
3,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8516,0.9777
3,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8199,0.973
3,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.6547,0.9482
3,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.6962,0.9544
3,12,13,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.7882,0.9682
3,13,14,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8239,0.9736
3,14,15,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8785,0.9818
3,15,16,JoinHeavy,Procurement,True,0.71,0.8154,0.7749,0.379,0.4146,0.6336
3,16,17,Procurement,Procurement,False,1.0,1.0,1.0,0.9706,0.6151,0.9364
3,17,18,Procurement,Procurement,False,1.0,1.0,1.0,0.9706,0.736,0.9545
3,18,19,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7817,0.9673
3,19,20,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.6869,0.953
3,20,21,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.6599,0.9313
3,21,22,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.8173,0.9549
3,22,23,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.6659,0.9499
3,23,24,Procurement,Customer,True,0.66,0.9076,0.7444,0.3879,0.5957,0.6624
3,24,25,Customer,Customer,False,1.0,1.0,1.0,0.9048,0.8068,0.952
3,25,26,Customer,Customer,False,1.0,1.0,1.0,0.9286,0.6647,0.9354
3,26,27,Customer,Customer,False,1.0,1.0,1.0,0.869,0.5523,0.9067
3,27,28,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.5694,0.9045
3,28,29,Customer,Customer,False,1.0,1.0,1.0,0.9762,0.5528,0.9282
3,29,30,Customer,Customer,False,1.0,1.0,1.0,1.0,0.7213,0.9582
3,30,31,Customer,Customer,False,1.0,1.0,1.0,0.869,0.5606,0.9079
4,0,1,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.9223,0.9883
4,1,2,Reporting,Reporting,False,1.0,1.0,1.0,0.9333,0.8029,0.9571
4,2,3,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.798,0.963
4,3,4,Reporting,Reporting,False,1.0,1.0,1.0,0.8333,0.6802,0.9187
4,4,5,Reporting,Reporting,False,1.0,1.0,1.0,0.8571,0.7582,0.9352
4,5,6,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.7874,0.9614
4,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.867,0.98
4,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2396,0.5689,0.6513
4,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9744,0.9962
4,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8566,0.9785
4,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.8335,0.9614
4,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.9052,0.9721
4,12,13,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.7324,0.9599
4,13,14,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.6603,0.949
4,14,15,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.8205,0.9731
4,15,16,JoinHeavy,Procurement,True,0.71,0.8154,0.7749,0.379,0.4901,0.6449
4,16,17,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7274,0.9591
4,17,18,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7781,0.9667
4,18,19,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.7532,0.963
4,19,20,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.8249,0.9737
4,20,21,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.775,0.9486
4,21,22,Procurement,Procurement,False,1.0,1.0,1.0,0.8824,0.6849,0.9292
4,22,23,Procurement,Procurement,False,1.0,1.0,1.0,0.9706,0.7446,0.9558
4,23,24,Procurement,Customer,True,0.66,0.9076,0.7444,0.3879,0.4625,0.6424
4,24,25,Customer,Customer,False,1.0,1.0,1.0,1.0,0.4064,0.911
4,25,26,Customer,Customer,False,1.0,1.0,1.0,1.0,0.8745,0.9812
4,26,27,Customer,Customer,False,1.0,1.0,1.0,1.0,0.5463,0.9319
4,27,28,Customer,Customer,False,1.0,1.0,1.0,0.8452,0.7732,0.935
4,28,29,Customer,Customer,False,1.0,1.0,1.0,1.0,0.3879,0.9082
4,29,30,Customer,Customer,False,1.0,1.0,1.0,0.869,0.6666,0.9238
4,30,31,Customer,Customer,False,1.0,1.0,1.0,0.7976,0.7335,0.9195
5,0,1,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.6703,0.9505
5,1,2,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.7489,0.9557
5,2,3,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8274,0.9741
5,3,4,Reporting,Reporting,False,1.0,1.0,1.0,0.9667,0.7602,0.9574
5,4,5,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.8195,0.9729
5,5,6,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.809,0.9714
5,6,7,Reporting,Reporting,False,1.0,1.0,1.0,1.0,0.6952,0.9543
5,7,8,Reporting,JoinHeavy,True,0.75,0.8826,0.7704,0.2291,0.8197,0.6869
5,8,9,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.8098,0.9578
5,9,10,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.7962,0.9558
5,10,11,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.9091,0.9727
5,11,12,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.9505,0.9926
5,12,13,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.9474,0.9785
5,13,14,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,0.9318,0.7658,0.9512
5,14,15,JoinHeavy,JoinHeavy,False,1.0,1.0,1.0,1.0,0.6249,0.9437
5,15,16,JoinHeavy,Procurement,True,0.71,0.8154,0.7749,0.379,0.5839,0.659
5,16,17,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.7522,0.9452
5,17,18,Procurement,Procurement,False,1.0,1.0,1.0,0.9118,0.5693,0.9177
5,18,19,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.86,0.979
5,19,20,Procurement,Procurement,False,1.0,1.0,1.0,0.9706,0.6823,0.9465
5,20,21,Procurement,Procurement,False,1.0,1.0,1.0,0.9706,0.7287,0.9534
5,21,22,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.6658,0.9499
5,22,23,Procurement,Procurement,False,1.0,1.0,1.0,1.0,0.875,0.9812
5,23,24,Procurement,Customer,True,0.66,0.9076,0.7444,0.4286,0.5847,0.6688
5,24,25,Customer,Customer,False,1.0,1.0,1.0,0.7976,0.7399,0.9205
5,25,26,Customer,Customer,False,1.0,1.0,1.0,0.7976,0.6622,0.9089
5,26,27,Customer,Customer,False,1.0,1.0,1.0,0.869,0.6341,0.9189
5,27,28,Customer,Customer,False,1.0,1.0,1.0,1.0,0.4295,0.9144
5,28,29,Customer,Customer,False,1.0,1.0,1.0,0.7381,0.6037,0.8882
5,29,30,Customer,Customer,False,1.0,1.0,1.0,0.7381,0.6138,0.8897
5,30,31,Customer,Customer,False,1.0,1.0,1.0,1.0,0.5033,0.9255
