w_from,w_to,phase_from,phase_to,cross_phase,n1,n2,S_R,S_V,S_T,S_A,S_P,HSM
0,1,Photometric,Photometric,False,35,34,1.0,0.9875,1.0,0.7,0.8952,0.9165
1,2,Photometric,Photometric,False,34,31,1.0,0.9607,1.0,0.8,0.7905,0.9102
2,3,Photometric,Photometric,False,31,35,1.0,0.9487,1.0,1.0,0.5143,0.8926
3,4,Photometric,Photometric,False,35,30,1.0,0.9352,1.0,0.8,0.8571,0.9185
4,5,Photometric,Photometric,False,30,31,1.0,0.9859,1.0,0.8,0.7333,0.9038
5,6,Photometric,Photometric,False,31,23,1.0,0.8784,1.0,0.8,0.7048,0.8766
6,7,Photometric,Photometric,False,23,22,1.0,0.9809,1.0,0.8,0.7714,0.9105
7,8,Photometric,Photometric,False,22,37,1.0,0.7979,1.0,1.0,0.6667,0.8929
8,9,Photometric,Photometric,False,37,26,1.0,0.8579,1.0,0.625,0.7048,0.8375
9,10,Photometric,Photometric,False,26,33,1.0,0.9016,1.0,0.7745,0.8762,0.9105
10,11,Photometric,Photometric,False,33,31,1.0,0.9732,1.0,0.8,0.7143,0.8975
11,12,Photometric,Photometric,False,31,23,1.0,0.8784,1.0,0.9,0.6857,0.8928
12,13,Photometric,Photometric,False,23,29,1.0,0.9042,1.0,0.625,0.8381,0.8735
13,14,Photometric,Photometric,False,29,32,1.0,0.9581,1.0,0.55,0.7238,0.8464
14,15,Photometric,Photometric,False,32,34,1.0,0.974,1.0,1.0,0.8,0.9548
15,16,Photometric,Photometric,False,34,36,1.0,0.9755,1.0,1.0,0.7905,0.9532
16,17,Photometric,Photometric,False,36,22,1.0,0.8074,1.0,1.0,0.781,0.9177
17,18,Photometric,Photometric,False,22,28,1.0,0.9006,1.0,1.0,0.8762,0.9554
18,19,Photometric,Photometric,False,28,37,1.0,0.886,1.0,0.8,0.7143,0.8801
19,20,Photometric,Spectroscopic,True,37,24,1.0,0.8286,1.0,0.1868,0.8095,0.765
20,21,Spectroscopic,Spectroscopic,False,24,33,1.0,0.8708,1.0,0.85,0.7619,0.8965
