window,phase,phase_idx,seq,query,op_type,exec_ms
0,Photometric,0,0,PhotoObjAll,SELECT,365.6926
0,Photometric,0,1,PhotoObj,SELECT,74.6318
0,Photometric,0,2,PhotoObj,SELECT,68.9164
0,Photometric,0,3,PhotoObjAll,SELECT,142.6022
0,Photometric,0,4,PhotoObjAll,SELECT,86.0782
0,Photometric,0,5,Run,SELECT,131.1546
0,Photometric,0,6,PhotoObjAll,SELECT,111.977
0,Photometric,0,7,PhotoObj,SELECT,198.8111
0,Photometric,0,8,PhotoObj,SELECT,209.486
0,Photometric,0,9,PhotoObjAll,SELECT,107.2184
0,Photometric,0,10,PhotoObj,SELECT,77.3996
0,Photometric,0,11,PhotoObj,SELECT,366.1993
0,Photometric,0,12,PhotoObj,SELECT,75.7831
0,Photometric,0,13,PhotoObj,SELECT,249.7534
0,Photometric,0,14,PhotoObj,SELECT,229.1836
0,Photometric,0,15,PhotoObjAll,SELECT,178.7037
0,Photometric,0,16,PhotoObj,SELECT,176.7879
0,Photometric,0,17,PhotoObjAll,SELECT,177.4833
0,Photometric,0,18,PhotoObj,SELECT,156.6577
0,Photometric,0,19,PhotoObjAll,SELECT,245.926
0,Photometric,0,20,PhotoObjAll,SELECT,114.9231
0,Photometric,0,21,PhotoObj,SELECT,89.0233
0,Photometric,0,22,PhotoObj,SELECT,490.7589
0,Photometric,0,23,PhotoObjAll,SELECT,322.0229
0,Photometric,0,24,PhotoObj,SELECT,113.5328
0,Photometric,0,25,PhotoObj,SELECT,237.2176
0,Photometric,0,26,PhotoObj,SELECT,279.9687
0,Photometric,0,27,PhotoObj,SELECT,102.5262
0,Photometric,0,28,PhotoObj,SELECT,127.3522
0,Photometric,0,29,PhotoObjAll,SELECT,59.9416
0,Photometric,0,30,PhotoObj,SELECT,220.9041
0,Photometric,0,31,PhotoObj,SELECT,257.8526
0,Photometric,0,32,PhotoObj,SELECT,168.4825
0,Photometric,0,33,PhotoObjAll,SELECT,115.8762
0,Photometric,0,34,PhotoObjAll,SELECT,87.3969
1,Photometric,0,35,PhotoObj,SELECT,46.6331
1,Photometric,0,36,PhotoObj,SELECT,66.8334
1,Photometric,0,37,Field,SELECT,71.9245
1,Photometric,0,38,PhotoObj,SELECT,419.6339
1,Photometric,0,39,Field,SELECT,267.739
1,Photometric,0,40,PhotoObjAll,SELECT,125.9204
1,Photometric,0,41,PhotoObj,SELECT,113.1567
1,Photometric,0,42,PhotoObjAll,SELECT,37.2683
