run,w_from,w_to,cross_phase,t_sr_us,t_sv_us,t_st_us,t_sa_us,t_sp_us,t_total_us
1,0,1,False,482.08,4.88,539.87,73.29,2388.5,3488.62
1,1,2,False,142.25,1.92,412.17,50.12,612.83,1219.29
1,2,3,False,120.21,1.54,408.38,51.42,578.17,1159.71
1,3,4,False,120.37,1.54,408.58,48.0,587.29,1165.79
1,4,5,False,108.33,1.21,370.13,47.04,539.04,1065.75
1,5,6,False,106.5,1.17,365.5,45.42,520.5,1039.08
1,6,7,False,109.58,1.29,388.96,44.25,520.96,1065.04
1,7,8,True,108.42,1.21,351.83,44.17,488.87,994.5
1,8,9,False,103.54,1.37,338.17,40.12,476.5,959.71
1,9,10,False,103.54,1.21,342.92,44.17,485.83,977.67
1,10,11,False,101.96,1.21,349.08,68.17,491.25,1011.67
1,11,12,False,100.42,1.33,316.42,43.04,449.04,910.25
1,12,13,False,94.54,1.29,322.5,47.25,450.79,916.37
1,13,14,False,94.08,1.04,317.67,41.04,446.5,900.34
1,14,15,False,89.25,0.96,308.33,36.67,422.5,857.71
1,15,16,True,87.25,1.04,298.46,36.83,430.54,854.12
1,16,17,False,88.79,1.04,303.25,37.29,415.25,845.63
1,17,18,False,88.08,0.96,289.67,35.33,410.33,824.37
1,18,19,False,87.67,0.96,292.33,34.17,405.58,820.71
1,19,20,False,83.83,0.92,296.29,38.67,411.54,831.25
1,20,21,False,85.54,1.0,295.54,42.83,411.21,836.12
1,21,22,False,85.71,1.13,290.29,47.33,397.0,821.46
1,22,23,False,83.21,1.0,280.75,36.08,396.0,797.04
1,23,24,True,81.92,1.0,285.13,34.96,391.29,794.29
1,24,25,False,81.21,0.92,277.63,37.75,388.04,785.54
1,25,26,False,79.71,0.83,276.58,35.42,387.08,779.63
1,26,27,False,79.29,0.83,273.96,30.46,375.46,760.0
1,27,28,False,77.21,0.92,265.29,29.33,377.17,749.92
1,28,29,False,79.08,0.87,264.21,32.83,370.04,747.04
1,29,30,False,85.33,0.92,263.08,29.75,355.63,734.71
1,30,31,False,76.92,0.83,261.67,26.96,355.37,721.75
