run,window,phase,n_total,n_select,n_update,n_insert,n_delete,avg_ms,total_ms,n_qtypes,avg_planning_ms,avg_shared_blk_hit
2,0,Reporting,28,28,0,0,0,175.54730714285714,4915.3246,4,0.07664285714285714,20726.10714285714
2,1,Reporting,20,20,0,0,0,144.969295,2899.3858999999998,5,0.094,29410.15
2,2,Reporting,20,20,0,0,0,66.04792,1320.9584,4,0.12344999999999999,48832.0
2,3,Reporting,35,35,0,0,0,448.68701428571427,15704.0455,4,0.07257142857142858,21183.885714285716
2,4,Reporting,14,14,0,0,0,253.2340357142857,3545.2765,4,0.09042857142857143,20130.85714285714
2,5,Reporting,20,20,0,0,0,115.68225500000001,2313.6451,4,0.0831,29305.6
2,6,Reporting,18,18,0,0,0,346.72894444444444,6241.121,4,0.08077777777777778,18114.555555555555
2,7,Reporting,24,24,0,0,0,366.15205,8787.6492,5,0.08800000000000001,32015.583333333332
2,8,JoinHeavy,20,20,0,0,0,140.20127,2804.0254,4,0.2974,229911.1
2,9,JoinHeavy,20,20,0,0,0,127.90902000000001,2558.1804,5,0.27395,197427.15
2,10,JoinHeavy,17,17,0,0,0,197.49332352941178,3357.3865,4,0.342235294117647,199161.5294117647
2,11,JoinHeavy,25,25,0,0,0,111.871756,2796.7939,5,0.25468,122335.52
2,12,JoinHeavy,30,30,0,0,0,132.66121666666666,3979.8365,5,0.2714,109832.26666666666
2,13,JoinHeavy,16,16,0,0,0,81.0218,1296.3488,3,0.3254375,125901.4375
2,14,JoinHeavy,22,22,0,0,0,92.89315,2043.6493,6,0.2701363636363636,76774.36363636363
2,15,JoinHeavy,23,23,0,0,0,98.71377826086957,2270.4169,4,0.32617391304347826,94570.69565217392
2,16,Procurement,14,14,0,0,0,181.18557857142858,2536.5981,3,0.21057142857142858,22715.0
2,17,Procurement,25,19,1,5,0,178.53157599999997,4463.2894,5,0.16704,19593.04
2,18,Procurement,22,19,3,0,0,228.18591818181815,5020.0902,4,0.1625909090909091,32652.81818181818
2,19,Procurement,18,17,1,0,0,288.7833777777778,5198.1008,4,0.20077777777777778,39236.11111111111
2,20,Procurement,23,23,0,0,0,254.1383608695652,5845.1822999999995,4,0.20878260869565216,36617.69565217391
2,21,Procurement,21,20,1,0,0,224.54565714285715,4715.4588,3,0.13904761904761903,37945.28571428572
2,22,Procurement,21,19,2,0,0,202.55914285714286,4253.742,4,0.20395238095238097,23172.285714285714
2,23,Procurement,21,12,9,0,0,180.8475238095238,3797.798,4,0.11471428571428573,25754.761904761905
2,24,Customer,23,23,0,0,0,153.24806521739131,3524.7055,4,0.226,108075.95652173914
2,25,Customer,19,15,4,0,0,301.2460315789474,5723.6746,4,0.2331578947368421,52727.0
2,26,Customer,16,13,1,2,0,141.12045,2257.9272,6,0.19493749999999999,70414.75
2,27,Customer,22,15,6,1,0,86.07070454545455,1893.5555000000002,5,0.17536363636363636,56499.454545454544
2,28,Customer,15,15,0,0,0,123.74670666666667,1856.2006000000001,3,0.26066666666666666,82865.86666666667
2,29,Customer,19,19,0,0,0,110.81805263157895,2105.543,3,0.261578947368421,80544.47368421052
2,30,Customer,23,23,0,0,0,203.5913913043478,4682.602,4,0.24082608695652177,72017.0
2,31,Customer,27,26,1,0,0,238.86749999999998,6449.4225,4,0.2541111111111111,78213.62962962964
