run,window,seq,query,mem_rss_mb,mem_delta_mb,cpu_user_ms,cpu_sys_ms,disk_read_kb,disk_write_kb
2,0,0,Q14,1109.71875,0.0156,0.7782,1.1116,0.0,0.0
2,0,1,Q14,1109.71875,0.0,0.6205,1.0022,0.0,0.0
2,0,2,Q14,1109.71875,0.0,0.7188,0.9828,0.0,0.0
2,0,3,Q6,1109.71875,0.0,0.726,1.142,8.0,1236.0
2,0,4,Q1,1109.71875,0.0,0.9021,1.2047,0.0,2944.0
2,0,5,Q12,1109.71875,0.0,0.8806,1.0885,0.0,0.0
2,0,6,Q14,1109.71875,0.0,0.682,0.9948,0.0,0.0
2,0,7,Q6,1109.71875,0.0,0.684,1.0609,0.0,0.0
2,0,8,Q14,1109.71875,0.0,0.7045,1.0545,0.0,0.0
2,0,9,Q1,1109.71875,0.0,0.8704,1.2064,156.0,0.0
2,0,10,Q14,1109.71875,0.0,0.5775,0.718,0.0,0.0
2,0,11,Q12,1109.71875,0.0,0.7363,0.828,0.0,0.0
2,0,12,Q6,1109.71875,0.0,0.6011,0.8593,0.0,0.0
2,0,13,Q1,1109.71875,0.0,0.895,1.1658,0.0,56.0
2,0,14,Q1,1109.71875,0.0,0.8755,1.2297,0.0,64.0
2,0,15,Q14,1109.71875,0.0,0.7926,1.1351,0.0,0.0
2,0,16,Q14,1109.71875,0.0,0.556,0.6893,0.0,0.0
2,0,17,Q14,1109.71875,0.0,0.5171,0.729,0.0,0.0
2,0,18,Q14,1109.71875,0.0,0.6072,0.9117,0.0,0.0
2,0,19,Q14,1109.71875,0.0,0.6595,0.9413,0.0,0.0
2,0,20,Q12,1109.71875,0.0,0.7997,0.9829,0.0,0.0
2,0,21,Q12,1109.71875,0.0,0.7987,1.1575,0.0,0.0
2,0,22,Q14,1109.71875,0.0,0.7404,0.9892,0.0,0.0
2,0,23,Q12,1109.71875,0.0,0.684,0.8845,0.0,0.0
2,0,24,Q14,1109.71875,0.0,0.7055,0.9274,0.0,0.0
2,0,25,Q12,1109.71875,0.0,0.8356,1.0958,0.0,0.0
2,0,26,Q14,1109.71875,0.0,0.6042,0.9514,0.0,0.0
2,0,27,Q14,1109.71875,0.0,0.7188,0.9583,0.0,0.0
2,1,28,Q1,1109.71875,0.0,0.7526,1.0039,20.0,1056.0
2,1,29,Q6,1109.71875,0.0,0.7936,1.2015,0.0,0.0
2,1,30,Q1,1109.71875,0.0,0.8468,1.1228,36.0,12.0
2,1,31,Q12,1109.71875,0.0,0.8325,1.0739,0.0,0.0
2,1,32,Q14,1109.71875,0.0,0.7137,0.9248,0.0,0.0
2,1,33,Q14,1109.71875,0.0,0.6523,0.8765,0.0,0.0
2,1,34,Q10,1109.71875,0.0,1.1141,1.1434,0.0,0.0
2,1,35,Q14,1109.71875,0.0,0.638,0.858,0.0,0.0
2,1,36,Q14,1109.71875,0.0,0.6625,1.07,0.0,40.0
2,1,37,Q12,1109.71875,0.0,0.7895,0.977,0.0,0.0
2,1,38,Q14,1109.71875,0.0,0.5755,0.9149,0.0,0.0
2,1,39,Q12,1109.71875,0.0,0.7619,1.0267,0.0,0.0
2,1,40,Q14,1109.71875,0.0,0.7608,1.1283,0.0,0.0
2,1,41,Q14,1109.71875,0.0,0.5581,0.6961,0.0,0.0
2,1,42,Q12,1109.71875,0.0,0.8714,1.0294,16.0,0.0
2,1,43,Q14,1109.71875,0.0,0.7414,1.0792,0.0,0.0
2,1,44,Q12,1109.71875,0.0,0.8632,1.1437,0.0,0.0
2,1,45,Q12,1109.71875,0.0,0.809,1.0401,0.0,0.0
2,1,46,Q14,1109.71875,0.0,0.6554,0.901,0.0,0.0
2,1,47,Q14,1109.71875,0.0,0.6707,1.0387,0.0,0.0
2,2,48,Q12,1109.71875,0.0,0.6799,1.0291,0.0,0.0
2,2,49,Q12,1109.71875,0.0,0.8018,1.0374,0.0,0.0
2,2,50,Q5,1109.71875,0.0,1.0885,1.2101,0.0,0.0
2,2,51,Q5,1109.71875,0.0,0.939,1.1901,0.0,0.0
2,2,52,Q14,1109.71875,0.0,0.683,1.0497,0.0,0.0
2,2,53,Q12,1109.71875,0.0,0.7168,0.9215,0.0,0.0
2,2,54,Q12,1109.71875,0.0,0.767,1.1918,0.0,0.0
2,2,55,Q14,1109.71875,0.0,0.7188,0.9701,0.0,0.0
2,2,56,Q14,1109.71875,0.0,0.5345,0.7485,0.0,0.0
2,2,57,Q14,1109.71875,0.0,0.6748,0.8868,0.0,0.0
2,2,58,Q14,1109.71875,0.0,0.4413,0.452,0.0,0.0
2,2,59,Q12,1109.71875,0.0,0.7885,1.0294,0.0,0.0
2,2,60,Q12,1109.71875,0.0,0.6892,0.8589,0.0,0.0
2,2,61,Q14,1109.71875,0.0,0.5888,0.8421,0.0,0.0
2,2,62,Q14,1109.71875,0.0,0.5878,0.7707,0.0,0.0
2,2,63,Q12,1109.71875,0.0,0.6646,0.7451,0.0,0.0
2,2,64,Q6,1109.71875,0.0,0.6922,1.1319,0.0,0.0
