run,w_from,w_to,phase_from,phase_to,cross_phase,n1,n2,S_R,S_V,S_T,S_A,S_P,HSM,hsm_no_sr,hsm_no_sv,hsm_no_st,hsm_no_sa,hsm_no_sp
4,0,1,Reporting,Reporting,False,20,28,1.0,0.864,1.0,0.5754,0.7714,0.8422,0.8027,0.8367,0.8027,0.9089,0.8599
4,1,2,Reporting,Reporting,False,28,30,1.0,0.9705,1.0,0.6421,0.819,0.8863,0.8579,0.8653,0.8579,0.9474,0.9031
4,2,3,Reporting,Reporting,False,30,21,1.0,0.8565,1.0,0.6421,0.8095,0.8616,0.827,0.8629,0.827,0.9165,0.8747
4,3,4,Reporting,Reporting,False,21,19,1.0,0.9575,1.0,0.6795,0.8476,0.8969,0.8711,0.8818,0.8711,0.9513,0.9092
4,4,5,Reporting,Reporting,False,19,22,1.0,0.9383,1.0,0.5312,0.7524,0.8444,0.8055,0.8209,0.8055,0.9227,0.8674
4,5,6,Reporting,Reporting,False,22,20,1.0,0.9595,1.0,0.7812,0.9143,0.931,0.9137,0.9239,0.9137,0.9684,0.9352
4,6,7,Reporting,Reporting,False,20,18,1.0,0.9553,1.0,0.5238,0.6381,0.8234,0.7793,0.7905,0.7793,0.8983,0.8698
4,7,8,Reporting,JoinHeavy,True,18,17,1.0,0.9755,1.0,0.6894,0.6667,0.8663,0.8329,0.839,0.8329,0.9105,0.9162
4,8,9,JoinHeavy,JoinHeavy,False,17,24,1.0,0.8609,1.0,1.0,0.7333,0.9188,0.8986,0.9333,0.8986,0.8986,0.9652
4,9,10,JoinHeavy,JoinHeavy,False,24,17,1.0,0.8609,1.0,0.881,0.7429,0.8969,0.8712,0.906,0.8712,0.9009,0.9355
4,10,11,JoinHeavy,JoinHeavy,False,17,20,1.0,0.9319,1.0,0.881,0.6952,0.9016,0.877,0.894,0.877,0.9068,0.9532
4,11,12,JoinHeavy,JoinHeavy,False,20,22,1.0,0.9595,1.0,0.9118,0.7143,0.9171,0.8964,0.9065,0.8964,0.9184,0.9678
4,12,13,JoinHeavy,JoinHeavy,False,22,15,1.0,0.8468,1.0,0.9118,0.7429,0.9003,0.8753,0.9137,0.8753,0.8974,0.9396
4,13,14,JoinHeavy,JoinHeavy,False,15,28,1.0,0.7626,1.0,0.6863,0.6476,0.8193,0.7741,0.8335,0.7741,0.8525,0.8622
4,14,15,JoinHeavy,JoinHeavy,False,28,21,1.0,0.8826,1.0,0.6754,0.8095,0.8735,0.8419,0.8712,0.8419,0.923,0.8895
4,15,16,JoinHeavy,Procurement,True,21,16,0.875,0.8886,0.9949,0.5089,0.7048,0.7944,0.7743,0.7709,0.7443,0.8658,0.8169
4,16,17,Procurement,Procurement,False,16,16,0.9375,1.0,0.9975,0.6786,0.6857,0.8598,0.8404,0.8248,0.8254,0.9052,0.9034
4,17,18,Procurement,Procurement,False,16,23,0.7147,0.8542,0.8804,0.7227,0.7143,0.7772,0.7929,0.758,0.7515,0.7909,0.793
4,18,19,Procurement,Procurement,False,23,21,0.9855,0.9613,0.9942,0.9706,0.8095,0.9442,0.9339,0.94,0.9317,0.9376,0.9779
4,19,20,Procurement,Procurement,False,21,26,0.9103,0.9114,0.7784,0.9412,0.9048,0.8892,0.8839,0.8836,0.9169,0.8762,0.8853
4,20,21,Procurement,Procurement,False,26,21,0.7198,0.9114,0.7954,0.9118,0.6857,0.8048,0.8261,0.7782,0.8072,0.7781,0.8346
4,21,22,Procurement,Procurement,False,21,20,0.8929,0.979,0.9934,0.9706,0.6381,0.8948,0.8953,0.8737,0.8701,0.8758,0.959
4,22,23,Procurement,Procurement,False,20,19,0.8553,0.978,0.9877,0.9706,0.7333,0.905,0.9174,0.8867,0.8843,0.8886,0.9479
4,23,24,Procurement,Customer,True,19,19,0.9474,1.0,0.9916,0.4524,0.619,0.8021,0.7658,0.7526,0.7547,0.8895,0.8478
4,24,25,Customer,Customer,False,19,23,0.9908,0.9204,0.9999,0.8211,0.6762,0.8817,0.8544,0.872,0.8521,0.8968,0.9331
4,25,26,Customer,Customer,False,23,22,0.8162,0.9809,0.9712,0.8211,0.6667,0.8512,0.8599,0.8188,0.8212,0.8587,0.8973
4,26,27,Customer,Customer,False,22,18,0.7727,0.9165,0.9594,0.9688,0.8476,0.893,0.9231,0.8871,0.8764,0.8741,0.9043
4,27,28,Customer,Customer,False,18,18,0.8333,1.0,0.9806,0.9688,0.8095,0.9184,0.9397,0.898,0.9029,0.9059,0.9457
4,28,29,Customer,Customer,False,18,13,0.8333,0.8682,0.9806,0.9688,0.7524,0.8806,0.8925,0.8838,0.8557,0.8586,0.9127
4,29,30,Customer,Customer,False,13,15,1.0,0.9397,1.0,1.0,0.8,0.9479,0.9349,0.95,0.9349,0.9349,0.9849
4,30,31,Customer,Customer,False,15,19,1.0,0.9024,1.0,1.0,0.781,0.9367,0.9208,0.9452,0.9208,0.9208,0.9756
